Snapshot = 0 .,Track_ID,x,y,z
,58,-565.408991,593.914852,692.087215
Snapshot = 8 .,Track_ID,x,y,z
,1,-686.310083,579.83236,623.759019
,2,-685.43113,579.495837,658.680675
,3,-683.004705,578.29672,692.921232
,4,-648.700716,581.306483,622.886342
,5,-649.239563,581.872159,657.5526
,6,-649.025379,582.240121,692.488976
,8,-647.535925,581.669196,762.464488
,9,-647.809182,582.158997,797.497346
,10,-644.917091,580.656351,831.148176
,12,-614.720862,586.311916,656.832452
,13,-615.268597,587.099746,691.960016
,14,-616.799599,588.475887,727.616596
,15,-612.349928,585.609959,761.350855
,16,-613.300729,586.597364,796.74326
,17,-611.629891,585.599266,830.992093
,19,-582.631223,593.443437,657.120567
,22,-578.74577,591.150239,761.463668
,23,-578.74066,591.421246,796.533409
,24,-577.809689,591.117995,831.050416
,25,-547.514408,596.13298,621.113662
,26,-547.078375,596.072658,656.113082
,27,-546.405691,596.037664,690.572766
,29,-546.429686,596.620171,760.688696
,31,-546.752392,597.410945,831.282429
,32,-513.152511,602.254267,655.442925
,33,-514.137056,603.660403,690.470284
,34,-512.170813,602.183641,725.034838
,35,-511.995803,602.239853,760.041591
,37,-512.247022,603.054845,830.340321
,38,-479.875531,608.886295,620.60292
,39,-478.583958,608.560909,655.38238
,42,-479.882655,610.458873,761.300919
,43,-477.247379,608.055389,794.821106
,44,-476.002284,607.397674,829.15859
,46,-716.459487,575.226439,693.295998
,47,-683.17423,578.482492,728.101286
,49,-681.637174,578.159022,797.682813
,50,-682.288362,578.832068,832.909414
,51,-563.094519,594.248736,868.402135
,52,-513.832583,602.540077,620.354465
,54,-648.336837,581.992665,727.599099
,58,-565.515666,593.999087,692.122653
Snapshot = 9 .,Track_ID,x,y,z
,1,-686.034438,579.681915,623.719859
,2,-685.15879,579.324979,658.630628
,3,-683.248689,578.455386,692.972834
,4,-649.281944,581.7376,622.942832
,5,-649.406672,581.995248,657.565487
,6,-649.487824,582.478967,692.558964
,8,-647.153689,581.428462,762.365672
,9,-647.820763,582.166995,797.474961
,10,-645.29744,580.911471,831.324922
,12,-614.537173,586.169052,656.819343
,13,-615.050136,586.946996,691.915468
,14,-616.712781,588.415342,727.594211
,15,-612.704836,585.872634,761.476721
,16,-613.008726,586.389735,796.615283
,17,-611.634307,585.610681,830.999036
,19,-582.134202,593.045981,657.026751
,22,-578.622945,591.052062,761.42212
,23,-579.013486,591.655648,796.664607
,24,-577.680351,591.011208,830.979762
,25,-547.675962,596.261541,621.122327
,26,-547.121478,596.114484,656.108249
,27,-546.588866,596.224353,690.640476
,29,-546.546943,596.716153,760.735577
,31,-546.73477,597.39267,831.27482
,32,-513.27442,602.375495,655.445702
,33,-513.60811,603.180295,690.325033
,34,-512.076441,602.095407,725.005899
,35,-512.044253,602.28615,760.059143
,37,-512.491075,603.277305,830.48474
,38,-480.010785,609.051654,620.621084
,39,-478.617202,608.582739,655.392489
,42,-479.983359,610.562243,761.350799
,43,-477.040264,607.827902,794.703127
,44,-475.645765,607.014993,828.922521
,46,-716.494064,575.242187,693.303774
,47,-683.067944,578.416809,728.076013
,49,-681.656171,578.17527,797.691645
,50,-682.253535,578.810488,832.893417
,51,-563.489559,594.59859,868.662365
,52,-513.757319,602.444039,620.405122
,54,-648.323811,581.984473,727.570104
,58,-564.951768,593.536476,691.990844
,59,-546.050504,596.651831,795.709668
Snapshot = 10 .,Track_ID,x,y,z
,1,-685.23722,579.177422,623.66348
,2,-685.003818,579.233412,658.605522
,3,-683.454624,578.595555,693.01877
,4,-649.942909,582.19188,623.004321
,5,-649.749249,582.253563,657.628364
,6,-649.968099,582.813184,692.743319
,8,-646.80278,581.190449,762.272578
,9,-647.738417,582.109367,797.45652
,10,-645.890666,581.324564,831.604205
,12,-614.236699,585.944843,656.80018
,13,-615.006283,586.917501,691.91208
,14,-616.026571,587.895658,727.396358
,15,-613.137869,586.189965,761.636192
,16,-612.846727,586.263063,796.55285
,17,-611.732011,585.683306,831.078799
,19,-581.483319,592.539516,656.914326
,22,-578.637081,591.066309,761.436895
,23,-579.216297,591.840781,796.768866
,24,-577.623764,590.972049,830.964709
,25,-547.837363,596.436676,621.163208
,26,-547.000153,596.016196,656.090308
,27,-546.690403,596.3305,690.673581
,29,-546.509838,596.694352,760.730633
,31,-546.601336,597.279524,831.207387
,32,-513.29736,602.407129,655.469253
,33,-512.982834,602.615424,690.164006
,34,-512.042614,602.071856,724.998678
,35,-512.080024,602.329254,760.084472
,37,-512.661503,603.440248,830.604663
,38,-479.99369,609.04535,620.617584
,39,-478.645155,608.612428,655.407431
,42,-479.771508,610.345893,761.256205
,43,-476.864115,607.643408,794.615087
,44,-475.440358,606.81514,828.81754
,46,-716.875551,575.481393,693.382038
,47,-683.021869,578.400118,728.06707
,49,-681.76865,578.253311,797.740969
,50,-682.16158,578.757276,832.860479
,51,-563.829678,594.879539,868.876382
,52,-514.059543,602.741902,620.413288
,54,-648.448983,582.073207,727.641313
,58,-565.187711,593.762241,692.052333
,59,-545.823337,596.488194,795.621573
Snapshot = 11 .,Track_ID,x,y,z
,2,-685.103855,579.29965,658.624518
,3,-683.414826,578.563838,693.020325
,4,-650.549799,582.65899,623.067754
,5,-650.155537,582.542928,657.701018
,6,-650.480673,583.17012,692.858021
,8,-646.283679,580.910499,762.039009
,9,-647.678789,582.075428,797.466907
,10,-646.574932,581.79048,831.914205
,12,-613.99502,585.76157,656.755855
,13,-615.042693,586.945135,691.923578
,15,-613.439287,586.389624,761.754449
,16,-612.903745,586.301945,796.583622
,17,-612.070089,585.95198,831.24838
,22,-578.785638,591.180067,761.520602
,23,-579.286562,591.90302,796.808248
,24,-577.750935,591.081557,831.027475
,25,-547.886438,596.483806,621.176039
,26,-546.941886,595.969565,656.095863
,27,-546.453515,596.138313,690.626756
,29,-546.500271,596.674494,760.719968
,31,-546.374766,597.14391,831.175449
,32,-513.159482,602.296398,655.452256
,33,-512.265921,601.966847,689.978539
,34,-512.119031,602.143315,725.028506
,35,-512.089939,602.338613,760.105801
,37,-512.725269,603.506292,830.660153
,38,-479.911997,608.985833,620.619417
,39,-478.695757,608.692386,655.445813
,42,-479.320159,609.881588,761.0353
